iter	Passed	Remaining
0	3	943
1	5	833
2	7	777
3	10	790
4	12	748
5	15	745
6	18	766
7	20	754
8	23	774
9	26	771
10	29	776
11	32	783
12	34	771
13	38	782
14	40	766
15	43	777
16	46	775
17	50	786
18	52	778
19	54	767
20	57	768
21	59	758
22	63	759
23	65	752
24	67	741
25	70	741
26	72	732
27	75	734
28	78	731
29	80	722
30	83	724
31	85	716
32	87	708
33	90	711
34	93	705
35	96	707
36	98	702
37	101	696
38	104	699
39	107	695
40	110	697
41	112	692
42	116	694
43	118	688
44	120	681
45	123	680
46	125	675
47	128	673
48	131	673
49	134	670
50	137	670
51	139	664
52	142	663
53	144	658
54	146	654
55	149	652
56	151	646
57	154	644
58	157	641
59	159	636
60	162	635
61	164	630
62	166	626
63	169	624
64	171	619
65	174	617
66	176	613
67	178	608
68	181	606
69	183	602
70	185	598
71	188	597
72	190	592
73	194	593
74	196	589
75	198	584
76	201	583
77	204	581
78	207	579
79	209	576
80	211	572
81	214	570
82	216	566
83	218	562
84	221	560
85	223	556
86	225	552
87	229	551
88	231	547
89	234	546
90	236	543
91	240	542
92	243	541
93	245	537
94	248	536
95	250	532
96	253	530
97	255	527
98	257	523
99	260	521
100	262	517
101	264	513
102	267	511
103	269	508
104	271	504
105	274	502
106	276	499
107	279	497
108	282	494
109	284	490
110	287	489
111	289	486
112	291	482
113	294	480
114	296	477
115	298	474
116	301	471
117	303	468
118	306	466
119	309	463
120	310	460
121	314	458
122	316	454
123	317	451
124	320	449
125	323	446
126	326	444
127	328	441
128	330	438
129	333	436
130	336	434
131	339	431
132	341	429
133	343	425
134	346	423
135	349	421
136	351	417
137	354	415
138	356	412
139	358	409
140	361	407
141	363	404
142	365	401
143	368	399
144	370	396
145	373	394
146	375	390
147	377	387
148	380	385
149	382	382
150	384	379
151	387	377
152	389	374
153	392	371
154	394	369
155	396	366
156	399	364
157	401	361
158	403	358
159	406	356
160	408	353
161	411	350
162	414	347
163	416	345
164	417	341
165	420	339
166	422	336
167	425	334
168	428	332
169	430	329
170	433	327
171	436	324
172	437	321
173	440	319
174	442	316
175	445	313
176	447	311
177	449	308
178	452	306
179	455	303
180	457	300
181	459	298
182	461	295
183	463	292
184	466	290
185	469	287
186	471	284
187	473	282
188	475	279
189	478	276
190	481	274
191	483	271
192	486	269
193	488	267
194	490	264
195	493	262
196	495	259
197	497	256
198	500	254
199	502	251
200	504	248
201	507	246
202	509	243
203	512	241
204	514	238
205	516	235
206	519	233
207	521	230
208	523	227
209	526	225
210	528	223
211	530	220
212	533	217
213	535	215
214	538	212
215	541	210
216	543	207
217	546	205
218	548	202
219	550	200
220	553	197
221	555	195
222	557	192
223	560	190
224	562	187
225	564	184
226	567	182
227	569	179
228	572	177
229	574	174
230	576	172
231	579	169
232	581	167
233	583	164
234	586	162
235	588	159
236	590	156
237	592	154
238	594	151
239	596	149
240	599	146
241	601	144
242	603	141
243	606	139
244	608	136
245	610	133
246	613	131
247	615	129
248	617	126
249	620	124
250	622	121
251	624	118
252	627	116
253	629	113
254	632	111
255	634	109
256	636	106
257	639	104
258	641	101
259	643	99
260	646	96
261	648	94
262	650	91
263	653	89
264	655	86
265	658	84
266	661	81
267	664	79
268	667	76
269	670	74
270	673	72
271	676	69
272	679	67
273	682	64
